class,precision,recall,f1,support,auroc,auprc,experiment
V,0.310431654676259,0.7191666666666666,0.43366834170854274,1200,0.7015532611148725,0.6701742124952121,context_4
F,0.0,0.0,0.0,12,0.6110574601641718,0.004821427359467211,context_4
Q,0.9223300970873787,0.07916666666666666,0.14581734458940906,1200,0.808731522229745,0.5918580438089428,context_4
N,0.0,0.0,0.0,1200,0.713971169036335,0.44924147921464186,context_8
S,0.5323741007194245,0.955719557195572,0.6838283828382838,542,0.9819293417186664,0.955271299749338,context_8
V,0.3306135770234987,0.8441666666666666,0.475140712945591,1200,0.7312031708417965,0.6883552665045435,context_8
F,0.0,0.0,0.0,12,0.6202116529856752,0.00585794829659379,context_8
Q,1.0,0.095,0.1735159817351598,1200,0.8285234709997744,0.6671418741893849,context_8
N,0.0,0.0,0.0,1200,0.6968077183480027,0.425564354704215,context_16
S,0.5827664399092971,0.948339483394834,0.7219101123595506,542,0.9811794837217475,0.9547689163291907,context_16
V,0.31900878293601004,0.8475,0.4635369188696445,1200,0.713590047393365,0.6788250654635993,context_16
F,0.0,0.0,0.0,12,0.6160268791244166,0.005788796756617702,context_16
Q,0.9876543209876543,0.06666666666666667,0.1249024199843872,1200,0.8182738095238095,0.6210911951066902,context_16
N,0.0,0.0,0.0,1200,0.6844665425411871,0.41171116723200396,context_32
S,0.5637362637362637,0.9464944649446494,0.7066115702479339,542,0.980190570178127,0.9524859766983003,context_32
V,0.313015873015873,0.8216666666666667,0.4533333333333333,1200,0.7134055517941774,0.6786078860251907,context_32
F,0.0,0.0,0.0,12,0.6157854498631901,0.005910183109244373,context_32
Q,1.0,0.07416666666666667,0.13809154383242825,1200,0.8245934890543896,0.6643512010004082,context_32
N,0.0,0.0,0.0,1200,0.713971169036335,0.44924147921464186,features_waveform
S,0.5323741007194245,0.955719557195572,0.6838283828382838,542,0.9819293417186664,0.955271299749338,features_waveform
V,0.3306135770234987,0.8441666666666666,0.475140712945591,1200,0.7312031708417965,0.6883552665045435,features_waveform
F,0.0,0.0,0.0,12,0.6202116529856752,0.00585794829659379,features_waveform
Q,1.0,0.095,0.1735159817351598,1200,0.8285234709997744,0.6671418741893849,features_waveform
N,0.0,0.0,0.0,1200,0.6570022286165651,0.3546493744079362,features_rr
S,0.3037037037037037,0.9833948339483395,0.46408358728776666,542,0.9759340533604671,0.9339968617507941,features_rr
V,0.32896959459459457,0.6491666666666667,0.4366591928251121,1200,0.6990763935906116,0.6814369685564984,features_rr
F,0.0,0.0,0.0,12,0.5980202800579429,0.005825943626259659,features_rr
Q,1.0,0.021666666666666667,0.04241435562805873,1200,0.8166249153689913,0.6909332205680061,features_rr
N,0.0,0.0,0.0,1200,0.5567548239675018,0.33160889284726724,features_rr_morphology
S,0.48954372623574144,0.9501845018450185,0.6461731493099122,542,0.9785401674614753,0.9381341773970036,features_rr_morphology
V,0.4345526663728515,0.8216666666666667,0.5684635341597002,1200,0.8362838524035205,0.7589925787373816,features_rr_morphology
F,0.0,0.0,0.0,12,0.6136930629325608,0.0052286848127401885,features_rr_morphology
Q,1.0,0.655,0.7915407854984894,1200,0.9677677160911758,0.9476458281331487,features_rr_morphology
N,0.0,0.0,0.0,1200,0.713971169036335,0.44924147921464186,RNN
S,0.5323741007194245,0.955719557195572,0.6838283828382838,542,0.9819293417186664,0.955271299749338,RNN
V,0.3306135770234987,0.8441666666666666,0.475140712945591,1200,0.7312031708417965,0.6883552665045435,RNN
F,0.0,0.0,0.0,12,0.6202116529856752,0.00585794829659379,RNN
Q,1.0,0.095,0.1735159817351598,1200,0.8285234709997744,0.6671418741893849,RNN
N,0.0,0.0,0.0,1200,0.5317738659444821,0.2743834695891374,LSTM
S,0.38410104011887075,0.9538745387453874,0.5476694915254238,542,0.9641963238569262,0.9004456337204023,LSTM
V,0.4202376665466331,0.9725,0.5868745285390998,1200,0.7789436639584745,0.5558373478658193,LSTM
F,0.0,0.0,0.0,12,0.4644495412844037,0.002735251784460809,LSTM
